tweet-id,class
32,1:NewYork
33,1:NewYork
34,1:NewYork
35,1:NewYork
36,1:NewYork
37,1:NewYork
38,1:NewYork
39,1:NewYork
40,1:NewYork
41,1:NewYork
42,1:NewYork
43,1:NewYork
44,1:NewYork
45,1:NewYork
46,1:NewYork
47,1:NewYork
48,1:NewYork
49,1:NewYork
50,1:NewYork
51,1:NewYork
52,1:NewYork
53,1:NewYork
54,1:NewYork
55,1:NewYork
56,1:NewYork
57,1:NewYork
58,1:NewYork
115,1:NewYork
116,1:NewYork
117,1:NewYork
118,1:NewYork
119,1:NewYork
120,1:NewYork
121,1:NewYork
122,1:NewYork
123,1:NewYork
124,1:NewYork
125,1:NewYork
126,1:NewYork
127,1:NewYork
128,1:NewYork
129,1:NewYork
130,1:NewYork
131,1:NewYork
132,1:NewYork
133,1:NewYork
134,1:NewYork
214,1:NewYork
215,1:NewYork
216,2:California
217,1:NewYork
218,1:NewYork
219,1:NewYork
220,1:NewYork
221,1:NewYork
222,1:NewYork
223,1:NewYork
224,1:NewYork
225,1:NewYork
226,1:NewYork
227,1:NewYork
228,1:NewYork
229,1:NewYork
230,1:NewYork
231,2:California
232,1:NewYork
233,2:California
234,1:NewYork
260,2:California
261,2:California
262,2:California
263,2:California
264,1:NewYork
265,1:NewYork
266,1:NewYork
267,1:NewYork
268,1:NewYork
269,2:California
270,1:NewYork
271,1:NewYork
272,2:California
273,1:NewYork
274,1:NewYork
275,1:NewYork
276,1:NewYork
277,2:California
278,1:NewYork
279,1:NewYork
280,1:NewYork
281,1:NewYork
282,2:California
283,1:NewYork
284,2:California
285,2:California
286,1:NewYork
287,1:NewYork
288,1:NewYork
289,1:NewYork
290,1:NewYork
291,1:NewYork
292,1:NewYork
293,1:NewYork
294,1:NewYork
295,2:California
296,1:NewYork
297,1:NewYork
298,1:NewYork
299,1:NewYork
300,2:California
301,1:NewYork
302,1:NewYork
303,1:NewYork
304,2:California
305,1:NewYork
306,1:NewYork
307,1:NewYork
308,1:NewYork
309,1:NewYork
310,1:NewYork
311,1:NewYork
312,2:California
313,1:NewYork
314,1:NewYork
315,1:NewYork
316,1:NewYork
317,2:California
318,1:NewYork
319,1:NewYork
320,1:NewYork
321,1:NewYork
322,2:California
323,2:California
324,1:NewYork
325,1:NewYork
326,1:NewYork
327,1:NewYork
328,1:NewYork
329,1:NewYork
330,3:Georgia
331,1:NewYork
332,1:NewYork
333,1:NewYork
334,1:NewYork
335,1:NewYork
336,1:NewYork
337,1:NewYork
338,1:NewYork
339,1:NewYork
340,1:NewYork
341,1:NewYork
342,1:NewYork
343,3:Georgia
344,1:NewYork
345,1:NewYork
346,1:NewYork
347,1:NewYork
348,1:NewYork
349,1:NewYork
350,1:NewYork
351,1:NewYork
352,3:Georgia
353,1:NewYork
354,1:NewYork
355,1:NewYork
356,1:NewYork
357,1:NewYork
358,1:NewYork
359,1:NewYork
360,1:NewYork
361,1:NewYork
362,1:NewYork
363,1:NewYork
364,1:NewYork
365,1:NewYork
366,1:NewYork
367,1:NewYork
368,1:NewYork
369,1:NewYork
370,1:NewYork
371,1:NewYork
372,2:California
373,1:NewYork
374,1:NewYork
375,1:NewYork
376,1:NewYork
377,1:NewYork
378,1:NewYork
379,1:NewYork
380,1:NewYork
381,1:NewYork
382,1:NewYork
383,2:California
384,1:NewYork
385,1:NewYork
386,1:NewYork
387,1:NewYork
388,1:NewYork
389,1:NewYork
390,2:California
391,1:NewYork
392,1:NewYork
393,1:NewYork
394,1:NewYork
395,1:NewYork
396,1:NewYork
397,1:NewYork
398,1:NewYork
399,1:NewYork
400,1:NewYork
401,3:Georgia
402,1:NewYork
403,3:Georgia
404,1:NewYork
405,1:NewYork
406,1:NewYork
407,1:NewYork
408,2:California
409,1:NewYork
410,1:NewYork
411,1:NewYork
412,1:NewYork
413,1:NewYork
414,1:NewYork
415,3:Georgia
416,1:NewYork
417,1:NewYork
418,1:NewYork
419,1:NewYork
420,1:NewYork
421,1:NewYork
422,3:Georgia
534,1:NewYork
535,1:NewYork
536,1:NewYork
537,1:NewYork
538,1:NewYork
539,1:NewYork
540,1:NewYork
541,1:NewYork
542,1:NewYork
543,1:NewYork
544,1:NewYork
545,1:NewYork
546,1:NewYork
547,1:NewYork
548,1:NewYork
549,1:NewYork
550,1:NewYork
551,1:NewYork
552,1:NewYork
553,1:NewYork
554,1:NewYork
555,1:NewYork
556,1:NewYork
557,1:NewYork
558,1:NewYork
559,1:NewYork
560,1:NewYork
561,1:NewYork
562,1:NewYork
563,1:NewYork
564,1:NewYork
723,1:NewYork
724,1:NewYork
725,1:NewYork
726,1:NewYork
727,1:NewYork
728,1:NewYork
729,1:NewYork
730,1:NewYork
731,1:NewYork
732,1:NewYork
733,1:NewYork
734,1:NewYork
735,1:NewYork
736,1:NewYork
737,1:NewYork
738,1:NewYork
739,1:NewYork
740,1:NewYork
741,1:NewYork
742,1:NewYork
743,1:NewYork
744,1:NewYork
745,1:NewYork
771,1:NewYork
772,1:NewYork
773,1:NewYork
774,1:NewYork
775,1:NewYork
776,1:NewYork
777,1:NewYork
778,1:NewYork
779,1:NewYork
780,1:NewYork
781,1:NewYork
782,1:NewYork
783,1:NewYork
784,1:NewYork
785,1:NewYork
786,1:NewYork
787,1:NewYork
788,1:NewYork
789,1:NewYork
790,1:NewYork
791,1:NewYork
792,1:NewYork
793,1:NewYork
794,1:NewYork
795,1:NewYork
796,1:NewYork
797,1:NewYork
820,1:NewYork
821,1:NewYork
822,1:NewYork
823,1:NewYork
824,1:NewYork
825,1:NewYork
826,1:NewYork
827,1:NewYork
828,1:NewYork
829,1:NewYork
830,1:NewYork
831,3:Georgia
832,1:NewYork
833,1:NewYork
834,1:NewYork
835,2:California
836,1:NewYork
837,2:California
838,1:NewYork
839,1:NewYork
840,1:NewYork
841,1:NewYork
842,1:NewYork
843,3:Georgia
844,3:Georgia
845,1:NewYork
846,1:NewYork
847,1:NewYork
848,1:NewYork
849,1:NewYork
850,1:NewYork
851,1:NewYork
852,1:NewYork
853,1:NewYork
854,1:NewYork
855,1:NewYork
856,3:Georgia
857,3:Georgia
858,2:California
859,3:Georgia
860,1:NewYork
861,1:NewYork
862,1:NewYork
863,1:NewYork
864,3:Georgia
865,1:NewYork
866,1:NewYork
867,3:Georgia
868,1:NewYork
869,1:NewYork
870,1:NewYork
871,1:NewYork
872,1:NewYork
873,1:NewYork
874,1:NewYork
875,1:NewYork
876,1:NewYork
877,1:NewYork
878,1:NewYork
879,1:NewYork
880,1:NewYork
881,2:California
961,1:NewYork
